ExtractDate,FHRSID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingDate,Longitude,Latitude
14/02/2014,77482,Broomton Community Shop,Restaurant/Cafe/Canteen,1,42 Broomton Road,Glasgow,G21 3RU,19/03/2012,-4.203822,55.89693
14/02/2014,200645,Brown's Bar and Brasserie,Restaurant/Cafe/Canteen,1,1 George Square,Glasgow,G2 1DY,20/01/2014,-4.250847,55.860453
14/02/2014,606997,Brutti Compadres,Restaurant/Cafe/Canteen,1,35 Virginia Street,Glasgow,G1 1TN,13/08/2013,-4.250545,55.858544
14/02/2014,460399,Buchanan Lodge,Restaurant/Cafe/Canteen,1,163 Wardie Road,Glasgow,G34 9EG,25/10/2012,-4.120015,55.867172
14/02/2014,607019,Bull Leader,Restaurant/Cafe/Canteen,1,55 Union Street,Glasgow,G1 3RB,06/11/2013,-4.257325,55.859184
14/02/2014,125754,Buon Giorno,Restaurant/Cafe/Canteen,1,1012 Pollokshaws Road,Glasgow,G41 2HG,28/10/2013,-4.278617,55.832008
14/02/2014,444490,Burger King,Restaurant/Cafe/Canteen,1,102 Union Street,Glasgow,G1 3QW,25/08/2012,-4.256555,55.859962
14/02/2014,511133,Burger King,Restaurant/Cafe/Canteen,1,6 Allerdyce Court,Glasgow,G15 6SA,26/02/2013,-4.376618,55.902864
14/02/2014,511132,Burger King,Restaurant/Cafe/Canteen,1,1 Springfield Quay,Glasgow,G5 8NP,02/08/2013,-4.274804,55.855303
14/02/2014,516675,Burger King,Restaurant/Cafe/Canteen,1,55 St Enoch Square,Glasgow,G1 4BW,04/09/2013,-4.254458,55.857412
14/02/2014,562673,Burger Meats Bun,Restaurant/Cafe/Canteen,1,48 West Regent Street,Glasgow,G2 2RA,19/06/2013,-4.256413,55.86329
14/02/2014,134212,Burnbank Bowling Club,Restaurant/Cafe/Canteen,1,235 Woodlands Road,Glasgow,G3 6NN,19/10/2004,-4.277658,55.871302
14/02/2014,125768,Burrell Collection (The Burrell Cafe/Restaurant),Restaurant/Cafe/Canteen,1,2060 Pollokshaws Road,Glasgow,G43 1AT,28/03/2012,-4.303363,55.823261
14/02/2014,48944,Buzzy Wares,Restaurant/Cafe/Canteen,1,48 Buchanan Street,Glasgow,G1 3JN,11/01/2012,-4.253456,55.859156
14/02/2014,460409,Byblos Cafe,Restaurant/Cafe/Canteen,1,6 Park Road,Glasgow,G4 9JG,22/07/2013,-4.278703,55.873853
14/02/2014,48674,C/o Scottish Water,Restaurant/Cafe/Canteen,1,419 Balmore Road,Glasgow,G22 6NU,24/04/2013,-4.260865,55.890943
14/02/2014,562692,Cafe,Restaurant/Cafe/Canteen,1,220 High Street,Glasgow,G4 0QW,11/07/2013,-4.239688,55.860657
14/02/2014,612651,Cafe 13,Restaurant/Cafe/Canteen,1,794 Govan Road,Glasgow,G51 2YL,11/11/2013,-4.310615,55.862895
14/02/2014,48871,Cafe Absolute,Restaurant/Cafe/Canteen,1,161 Byres Road,Glasgow,G12 8TS,24/01/2012,-4.295756,55.873787
14/02/2014,568576,Cafe Amalfi,Restaurant/Cafe/Canteen,1,19 Carmunnock Road,Glasgow,G44 4TZ,19/11/2013,-4.256752,55.825042
14/02/2014,24725,Cafe Andaluz,Restaurant/Cafe/Canteen,1,15 St Vincent Place,Glasgow,G1 2DW,09/10/2013,-4.252437,55.860864
14/02/2014,90588,Cafe Andaluz,Restaurant/Cafe/Canteen,1,2 Cresswell Lane,Glasgow,G12 8AA,04/03/2011,-4.292252,55.875911
14/02/2014,406756,Cafe Asia,Restaurant/Cafe/Canteen,1,1359 Barrhead Road,Glasgow,G53 7DA,07/06/2012,-4.362746,55.821792
14/02/2014,119069,Cafe Avanti,Restaurant/Cafe/Canteen,1,26 Merkland Street,Glasgow,G11 6DB,17/12/2012,-4.30912,55.870275
14/02/2014,73331,Cafe B Encore At Blair Court,Restaurant/Cafe/Canteen,1,100 Borron Street,Glasgow,G4 9XG,19/11/2012,-4.24913,55.87526
14/02/2014,48928,Cafe Bella Turca,Restaurant/Cafe/Canteen,1,563 Sauchiehall Street,Glasgow,G3 7PQ,09/04/2013,-4.273083,55.866048
14/02/2014,95711,Cafe Bungalow,Restaurant/Cafe/Canteen,1,1363 Dumbarton Road,Glasgow,G14 9UZ,28/03/2013,-4.343177,55.875742
14/02/2014,31168,Cafe Castello Coffee House,Restaurant/Cafe/Canteen,1,61 Old Castle Road,Glasgow,G44 5TG,03/05/2011,-4.257964,55.816491
14/02/2014,23158,Cafe Cherubini,Restaurant/Cafe/Canteen,1,360 Great Western Road,Glasgow,G4 9HT,27/09/2011,-4.276352,55.873833
14/02/2014,91623,Cafe Circa,Restaurant/Cafe/Canteen,1,322 Crow Road,Glasgow,G11 7HS,27/11/2013,-4.321842,55.877747
14/02/2014,127496,Cafe Cosmo,Restaurant/Cafe/Canteen,1,12 Rose Street,Glasgow,G3 6QZ,18/08/2011,-4.260859,55.865545
14/02/2014,17904,Cafe Di Sorrento,Restaurant/Cafe/Canteen,1,470 Crow Road,Glasgow,G11 7DR,19/02/2013,-4.325861,55.88132
14/02/2014,22899,Cafe Euro,Restaurant/Cafe/Canteen,1,549 Duke Street,Glasgow,G31 1DL,21/06/2011,-4.217936,55.858642
